ID, DeviceName
28B8, GeForce RTX 4060 Max-Q / Mobile
28E1, GeForce RTX 4050 Max-Q / Mobile
2820, GeForce RTX 4070 Max-Q / Mobile
2838, GeForce RTX 4070 Max-Q / Mobile
2882, GeForce RTX 4060
28A0, GeForce RTX 4060 Max-Q / Mobile
28A1, GeForce RTX 4050 Max-Q / Mobile
27B0, GeForce RTX 4080 Max-Q / Mobile
2803, GeForce RTX 4060 Ti
2805, GeForce RTX 4060 Ti 16GB       
26F5, GeForce RTX 4080
2717, GeForce RTX 4090 Laptop GPU    
2730, GeForce RTX 4070 Ti
2785, GeForce RTX 4070
27A0, GeForce RTX 4080 Max-Q / Mobile
25FA, GeForce RTX 4090
26B1, GeForce RTX 3050 Ti Mobile     
25E2, GeForce RTX 3050 Mobile        
25E5, GeForce RTX 3050 Mobile        
25F9, GeForce RTX 3050 6GB Laptop GPU
25ED, GeForce RTX 2050
25BB, GeForce RTX 3050 4GB Laptop GPU
25AC, GeForce RTX 3050 6GB Laptop GPU
25AD, GeForce RTX 2050
25AF, GeForce RTX 3050 Engineering Sample
25A2, GeForce RTX 3050 Mobile
25A4, GeForce RTX 3050 Mobile
25A3, GeForce MX570
25A7, GeForce MX570
25A9, GeForce RTX 2050
25AA, GeForce MX570 A
2563, GeForce RTX 3050 Ti Mobile / Max-Q
25A0, GeForce RTX 3050 Ti Mobile
2531, GeForce RTX 3060
2561, GeForce RTX 3060 Laptop GPU
2582, GeForce RTX 3050 8GB
2560, GeForce RTX 3060 Mobile / Max-Q
2583, GeForce RTX 3050 4GB
2523, GeForce RTX 3050 Ti Mobile / Max-Q
2508, GeForce RTX 3050 OEM
2507, GeForce RTX 3060 12GB Rev. 2
2521, GeForce RTX 3060 Laptop GPU
2505, GeForce RTX 3060 Mobile / Max-Q
252F, GeForce RTX 3060 Engineering Sample
2504, GeForce RTX 3060 Lite Hash Rate
24E0, GeForce RTX 3070 Mobile / Max-Q
2501, GeForce RTX 3060
2503, GeForce RTX 3060
24B8, GeForce RTX 3060 8GB
24C8, GeForce RTX 3070 GDDR6X
24C9, GeForce RTX 3060 Ti GDDR6X
24BF, GeForce RTX 3070 Engineering Sample
24DC, GeForce RTX 3080 Mobile / Max-Q 8GB/16GB
24B0, GeForce RTX 3060 Engineering Sample
24AF, GeForce RTX 3070 Engineering Sample
24A0, GeForce RTX 3080 Mobile / Max-Q 8GB/16GB
249D, GeForce RTX 3070 Mobile / Max-Q
24AC, GeForce RTX 30x0 Engineering Sample
2489, GeForce RTX 3060 Ti Lite Hash Rate
248A, GeForce RTX 3080 Ti Laptop GPU
2482, GeForce RTX 3070 Ti
2484, GeForce RTX 3070
2486, GeForce RTX 3060 Ti
2483, GeForce RTX 3060
2488, GeForce RTX 3070 Lite Hash Rate
2414, GeForce RTX 3060 Ti
2438, GeForce RTX 3080 Ti Mobile
2336, GeForce RTX 3080 12GB
222B, GeForce RTX 3090 Engineering Sample
222F, GeForce RTX 3080 11GB / 12GB Engineering Sample
2230, GeForce RTX 3080 Lite Hash Rate
2231, GeForce RTX 3070 Ti
2204, GeForce RTX 3090
2205, GeForce RTX 3080 Ti 20GB
2206, GeForce RTX 3080
2208, GeForce RTX 3080 Ti
21C4, GeForce GTX 1660 SUPER
21D1, GeForce GTX 1660 Ti Mobile
2203, GeForce RTX 3090 Ti
21C2, GeForce GTX 1650
2191, GeForce GTX 1660 Ti Mobile
2192, GeForce GTX 1650 Ti Mobile
21AE, GeForce GTX 1660 Ti
2183, GeForce GTX 1660
2187, GeForce GTX 1650 SUPER
20FF, GeForce GTX 1650 Mobile Refresh
1FF9, GeForce GTX 1650 Mobile Refresh
1FB8, GeForce MX550
1FA0, GeForce MX550
1FA1, GeForce MX450
1F9C, GeForce MX450
1F9D, GeForce GTX 1650 Mobile / Max-Q
1F92, GeForce GTX 1650 Mobile
1F94, GeForce GTX 1650 Mobile
1F95, GeForce GTX 1650 Ti Mobile
1F96, GeForce GTX 1650 Mobile / Max-Q
1F97, GeForce MX450
1F55, GeForce RTX 2060 Mobile
1F81, GeForce GTX 1650
1F91, GeForce GTX 1650 Mobile / Max-Q
1F83, GeForce GTX 1630
1F76, GeForce RTX 2060 SUPER
1F47, GeForce RTX 2060 SUPER
1F50, GeForce RTX 2070 Mobile / Max-Q
1F51, GeForce RTX 2060 Mobile
1F54, GeForce RTX 2070 Mobile
1F10, GeForce RTX 2070 Mobile
1F11, GeForce RTX 2060 Mobile
1F12, GeForce RTX 2060 Max-Q
1F14, GeForce RTX 2070 Mobile / Max-Q Refresh
1F15, GeForce RTX 2060 Mobile
1F2E, GeForce RTX 2060 SUPER
1F07, GeForce RTX 2070 Rev. A
1F08, GeForce RTX 2060 Rev. A
1F09, GeForce GTX 1660 SUPER
1F0A, GeForce GTX 1650
1ED3, GeForce RTX 2080 SUPER Mobile / Max-Q
1F02, GeForce RTX 2070
1F04, GeForce RTX 2060 12GB
1EF5, GeForce RTX 2070 SUPER
1EC7, GeForce RTX 2070 SUPER
1ED0, GeForce RTX 2080 Mobile
1ED1, GeForce RTX 2070 SUPER Mobile / Max-Q
1EBA, GeForce GTX 2080 Engineering Sample
1EB0, GeForce RTX 2070 SUPER
1E87, GeForce RTX 2080 Rev. A
1E89, GeForce RTX 2060
1E90, GeForce RTX 2080 Mobile
1E91, GeForce RTX 2070 SUPER Mobile / Max-Q
1E93, GeForce RTX 2080 SUPER Mobile / Max-Q
1E37, GeForce RTX 2080 SUPER
1E82, GeForce RTX 2080
1E04, GeForce RTX 2080 Ti
1E07, GeForce RTX 2080 Ti Rev. A
1E2D, GeForce RTX 2080 Ti Engineering Sample
1E2E, GeForce RTX 2080 Ti 12GB Engineering Sample
1E30, GeForce RTX 2080 Ti 12GB
1DB4, GeForce MX250
1D56, GeForce MX330
1D81, GeForce MX150
1D11, GeForce MX230
1D12, GeForce MX150
1D13, GeForce MX250
1D16, GeForce MX330
1D33, GeForce GTX 1050 Ti Mobile
1CCD, GeForce GTX 1050 Mobile
1CFA, GeForce GT 1030
1D02, GeForce GT 1010
1CB6, GeForce GTX 1050 Mobile
1C94, GeForce MX350
1C96, GeForce MX350
1CA7, GeForce GTX 1050 3GB
1C8C, GeForce GTX 1050 Ti Mobile
1C8D, GeForce GTX 1050 Mobile
1C8E, GeForce GTX 1050 Ti Max-Q
1C90, GeForce MX150
1C91, GeForce GTX 1050 3 GB Max-Q
1C60, GeForce GTX 1060 Mobile 6GB
1C61, GeForce GTX 1050 Ti Mobile
1C62, GeForce GTX 1050 Mobile
1C70, GeForce GTX 1050
1C82, GeForce GTX 1050 Ti
1C36, GeForce GTX 1050 Ti Mobile
1C22, GeForce GTX 1050 Mobile
1C23, GeForce GTX 1060 Mobile Rev. 2
1C2D, GeForce GTX 1060 6GB
1C04, GeForce GTX 1060 5GB
1C06, GeForce GTX 1060 6GB Rev. 2
1C07, GeForce GTX 1060 Mobile
1BC7, GeForce GTX 1080 Mobile
1BE1, GeForce GTX 1070 Mobile
1C00, GeForce GTX 1060 3GB
1BB5, GeForce GTX 1070 Engineering Sample
1BB0, GeForce GTX 1060 6GB
1B84, GeForce GTX 1060 3GB
1B87, GeForce GTX 1080 Mobile
1BA1, GeForce GTX 1070 Mobile
1BA2, GeForce GTX 1070 Mobile
1BA9, GeForce GTX 1080
1B81, GeForce GTX 1070
1B82, GeForce GTX 1070 Ti
1B39, GeForce GTX 1080 Ti
1B07, GeForce GTX 1080 Ti 10GB
1AEF, GeForce GTX TITAN X
17C8, GeForce GTX 980 Ti
17F0, GeForce GTX 965M
1725, GeForce MX130
174E, GeForce MX110
1789, GeForce 940MX
15F9, GeForce GTX 980M
1618, GeForce GTX 970M
1619, GeForce GTX 965M
161A, GeForce GTX 980 Mobile
1430, GeForce GTX 960
1402, GeForce GTX 950
1406, GeForce GTX 960 OEM
1407, GeForce GTX 750 v2
1427, GeForce GTX 965M
1404, GeForce GTX 960 FAKE
13F1, GeForce GTX 980M
13D8, GeForce GTX 960 OEM / 970M
13D9, GeForce GTX 965M
13DA, GeForce GTX 980 Mobile
13E7, GeForce GTX 980 Engineering Sample
13F0, GeForce GTX 980
13C1, GeForce GTX 970
13B1, GeForce 845M
1399, GeForce 945M
139A, GeForce GTX 950M
139B, GeForce GTX 960M
139C, GeForce 940M
139D, GeForce GTX 750 Ti
13B0, GeForce GTX 750
1382, GeForce GTX 745
1389, GeForce 845M
1391, GeForce GTX 850M
1392, GeForce GTX 860M
1393, GeForce 840M
134D, GeForce 940MX
134E, GeForce 930MX
134F, GeForce 920MX
137A, GeForce 940A
1380, GeForce GTX 750 Ti
1344, GeForce 845M
1346, GeForce 930M
1347, GeForce 940M
1348, GeForce 945M / 945A
1349, GeForce 930M
134B, GeForce 940MX
1299, GeForce 920M
129A, GeForce 910M
12A0, GeForce 830M
1341, GeForce 840M
1290, GeForce GT 730M
1291, GeForce GT 735M
1292, GeForce GT 740M
1293, GeForce GT 730M
1294, GeForce GT 740M
1295, GeForce 710M
1296, GeForce 825M
1298, GeForce GT 720M
1286, GeForce GT 720
1287, GeForce GT 730
1288, GeForce GT 720
1289, GeForce GT 710
128A, GeForce GT 710
128C, GeForce GT 640 OEM
124D, GeForce GT 555M/635M
1251, GeForce GT 560M
1280, GeForce GT 635
1281, GeForce GT 710
1282, GeForce GT 640 Rev. 2
1284, GeForce GT 630 Rev. 2
1245, GeForce GTS 450 Rev. 2
1246, GeForce GT 550M
1247, GeForce GT 555M/635M
1248, GeForce GT 555M/635M
1249, GeForce GTS 450 Rev. 3
1212, GeForce GTX 675M
1213, GeForce GTX 670M
1241, GeForce GT 545 OEM
1243, GeForce GT 545
1244, GeForce GTX 550 Ti
1206, GeForce GTX 555
1207, GeForce GT 645 OEM
1208, GeForce GTX 560 SE
1210, GeForce GTX 570M
1211, GeForce GTX 580M
1200, GeForce GTX 560 Ti
1201, GeForce GTX 560
1202, GeForce GTX 560 Ti OEM
1203, GeForce GTX 460 SE v2
1205, GeForce GTX 460 v2
11E2, GeForce GTX 765M
11E3, GeForce GTX 760M
11E7, GeForce GTX 750 Ti
11C8, GeForce GTX 650 OEM
11CB, GeForce GT 740
11E0, GeForce GTX 770M
11E1, GeForce GTX 765M
11C3, GeForce GTX 650 Ti OEM
11C4, GeForce GTX 645 OEM
11C5, GeForce GT 740
11C6, GeForce GTX 650 Ti
11BE, GeForce GTX 660
11C2, GeForce GTX 650 Ti Boost
11BA, GeForce GTX 680MX
11A7, GeForce GTX 675MX
11A9, GeForce GTX 870M
11AF, GeForce GTX 780M
11A0, GeForce GTX 680M
11A1, GeForce GTX 670MX
11A2, GeForce GTX 675MX Mac Edition
1199, GeForce GTX 870M
119A, GeForce GTX 860M
119D, GeForce GTX 775M Mac Edition
119E, GeForce GTX 780M Mac Edition
118F, GeForce GTX 760 Rev. 2
1193, GeForce GTX 760 Ti OEM
1194, GeForce GTX 660 Rev. 2
1198, GeForce GTX 880M
1188, GeForce GTX 690
1189, GeForce GTX 670
118A, GeForce USM
118C, GeForce GTX 760 OEM
1186, GeForce GTX 660 Ti
1184, GeForce GTX 770
1185, GeForce GTX 660 OEM
1187, GeForce GTX 760
1140, GeForce 610M/710M/810M/820M / GT 620M/625M/630M/720M
1180, GeForce GTX 680
1182, GeForce GTX 760 Ti
1183, GeForce GTX 660 Ti
10F1, GeForce 8400 GS Rev. 3
10C5, GeForce 405
10D8, GeForce GTX 580
108E, GeForce 9300 GS Rev. 2
1082, GeForce GTX 560 Ti OEM
1084, GeForce GTX 560 OEM
1086, GeForce GTX 570 Rev. 2
1087, GeForce GTX 560 Ti 448 Cores
1088, GeForce GTX 590
